gender,race,first_gen,income_quintile,in_state,legacy,gpa,sat_total,ap_courses,rec_score,interview_score,ecs_hours_per_week,intended_major,admit
M,White,1,2,1,0,3.57,901,2,3.95,3.88,5.8,Engineering,0
F,AAPI,1,2,1,0,3.41,1106,3,3.28,1.54,7.5,CS,0
M,Black,0,5,0,0,4.0,1429,3,1.37,4.33,8.8,Humanities,1
M,White,0,1,1,0,3.42,1222,2,2.7,3.22,4.9,Engineering,1
F,White,0,1,0,0,3.74,1261,6,3.64,2.61,3.5,Biology,1
M,White,0,2,1,0,3.41,1047,3,3.02,1.72,4.5,CS,0
M,Black,0,4,1,0,3.8,1348,2,3.71,2.64,1.0,CS,1
M,AAPI,1,5,0,0,3.62,1145,6,3.26,4.02,9.4,Humanities,1
F,Black,0,3,1,0,3.29,1258,4,3.41,3.02,5.1,Undeclared,1
F,White,0,3,0,0,3.28,1334,5,3.32,2.86,8.9,Economics,1
F,White,1,5,1,0,3.35,1119,5,3.11,2.42,6.0,Art,1
M,White,0,1,0,1,3.28,800,6,3.59,3.39,4.3,Engineering,0
M,White,0,5,1,0,3.4,1524,4,4.42,3.08,10.7,CS,1
M,Black,0,2,0,0,3.42,1173,1,3.43,2.71,8.5,Engineering,0
F,White,1,2,1,0,3.39,1080,6,3.26,2.82,7.0,Engineering,0
F,White,0,5,0,0,3.58,1217,1,2.99,2.68,2.9,Economics,0
M,White,0,4,1,0,3.56,927,5,3.96,2.45,3.6,Undeclared,1
F,White,1,3,0,0,3.08,1144,6,2.99,1.78,7.5,Engineering,0
M,AAPI,0,2,1,0,3.22,1056,0,3.54,2.4,3.5,Undeclared,0
M,White,1,3,1,0,2.75,1147,4,3.76,1.56,5.9,Economics,0
M,Hispanic,0,4,1,0,3.44,1224,2,3.99,3.49,7.3,CS,0
F,Hispanic,0,1,1,1,2.89,612,0,3.85,2.27,5.0,Economics,0
M,Hispanic,0,1,1,0,3.27,1154,1,3.68,2.49,1.8,Biology,1
M,AAPI,1,2,1,0,3.0,1121,3,2.45,2.87,7.5,Humanities,0
M,AAPI,0,3,1,0,2.68,1220,3,2.78,2.36,4.7,Humanities,0
F,AAPI,0,5,1,0,4.0,1239,8,2.68,2.26,9.1,Economics,1
F,White,1,2,1,0,3.17,1102,4,2.34,3.08,4.4,Humanities,1
F,White,0,4,1,0,3.99,1244,4,4.32,4.61,11.6,Economics,1
F,AAPI,1,5,1,0,3.31,1268,3,2.91,3.93,10.9,Engineering,1
M,White,1,3,1,0,3.92,1207,5,2.62,4.02,11.0,Undeclared,0
M,White,0,5,1,0,3.16,1305,10,3.47,2.16,11.7,Engineering,0
M,Hispanic,1,5,1,0,3.55,1489,4,3.05,3.05,7.0,Economics,0
F,White,1,4,0,0,2.98,1058,3,4.76,2.94,5.2,Humanities,0
F,White,0,2,0,0,4.0,1053,1,3.04,4.04,2.4,CS,0
F,AAPI,1,2,0,0,3.11,1307,6,3.47,3.63,5.6,Biology,0
F,White,1,5,1,0,3.78,1208,7,3.03,3.07,7.4,CS,0
F,Hispanic,1,3,1,0,3.49,1270,3,2.3,1.17,5.6,Engineering,0
F,White,0,1,0,0,3.18,1079,2,2.66,1.87,2.3,Economics,1
F,Hispanic,0,4,1,0,3.66,1188,3,2.97,3.61,7.7,Undeclared,1
M,Black,0,2,1,1,3.8,1268,3,2.92,2.64,4.2,Engineering,0
F,White,0,5,1,0,3.79,1338,8,2.54,3.11,6.4,Art,1
M,White,0,5,0,0,3.57,1025,5,3.58,3.69,8.0,Economics,0
M,White,0,1,0,0,3.37,1084,5,2.9,3.71,4.2,Humanities,1
F,White,1,5,0,0,4.0,1066,4,2.57,2.58,3.7,Humanities,1
M,White,0,5,1,0,3.41,1443,1,3.56,3.67,5.6,Economics,0
M,Other,0,4,0,0,2.78,1441,10,3.86,4.39,8.1,Biology,1
F,White,0,2,0,0,2.89,1367,4,3.92,4.04,5.1,Economics,0
F,Hispanic,0,4,1,0,3.12,1270,6,1.95,2.68,1.9,Humanities,1
M,White,1,5,1,0,3.18,1165,4,3.06,3.44,9.0,Art,1
F,Other,1,5,0,0,3.14,1250,2,2.68,3.8,7.2,Economics,0
F,White,0,3,1,0,3.39,1043,5,2.91,3.02,3.3,Art,1
F,White,0,4,0,0,3.52,1523,1,4.23,2.9,5.1,Biology,1
M,AAPI,1,2,1,0,3.33,1262,3,2.76,1.52,5.3,Humanities,1
M,White,0,2,1,0,3.06,1173,6,2.91,2.21,0.0,Economics,0
M,Hispanic,1,4,0,0,3.71,1300,5,2.9,2.54,7.6,CS,0
M,White,0,3,0,0,3.54,1081,5,4.28,1.99,8.5,Biology,0
F,White,0,2,1,0,3.87,975,7,1.82,2.99,7.4,Humanities,1
M,White,0,4,1,1,3.78,910,6,3.22,3.79,9.7,Humanities,1
F,AAPI,1,2,0,0,3.08,1082,0,2.68,2.56,3.0,Economics,0
F,White,1,3,1,1,3.79,1111,4,2.42,1.24,8.3,Humanities,1
M,White,1,2,0,0,3.3,1143,7,3.86,2.81,5.6,Undeclared,0
F,White,0,5,1,0,3.84,1267,5,2.42,3.42,5.5,CS,0
M,White,1,5,1,0,3.74,1296,9,3.22,3.37,8.5,Engineering,1
M,White,0,3,1,0,3.36,1289,6,3.25,2.42,7.1,Undeclared,0
M,Hispanic,0,4,1,0,3.52,1016,4,2.95,2.14,10.7,Engineering,0
M,White,1,1,1,0,3.12,1172,1,2.06,3.51,7.1,Humanities,1
M,AAPI,0,5,0,0,3.21,1183,6,3.4,3.48,5.9,Economics,1
